date,ticker_id,action,price,shares,cash_balance,portfolio_value
2024-07-16,ABBV,BUY,162.19,13.385160306368281,0.0,10664.07066424694
2024-07-24,ABBV,SELL_TP,168.91,13.385160306368281,2260.8874273486663,10372.557460772245
2024-07-24,WELL,BUY,106.52,21.225004011910123,0.0,10372.557460772245
2024-07-25,LLY,SELL_SL,812.63,2.2460905423932847,1825.240557465055,10342.755077795662
2024-07-25,ARGX,SELL_TP,486.33,4.49685111623571,4012.1941608239676,10342.755077795662
2024-07-25,MELI,SELL_MAX_DAYS,1625.15,1.2151617343448642,5987.014253394524,10342.755077795662
2024-07-25,MANU,BUY,17.09,116.7742198828657,3991.342835596349,10342.75507779566
2024-07-25,GD,BUY,283.76,7.032955377072789,1995.6714177981742,10342.75507779566
2024-07-25,ONC,BUY,163.27,12.223136018853275,0.0,10342.755077795662
2024-07-29,TJX,SELL_MAX_DAYS,110.46,19.385613620155137,2141.3348804823363,10390.284321038882
2024-07-29,GE,BUY,168.58,12.702188162785243,0.0,10390.284321038882
2024-08-06,WELL,SELL_TP,111.78,21.225004011910123,2372.5309484513136,10424.033563779321
2024-08-06,ONC,SELL_TP,171.32,12.223136018853275,4466.598611201256,10424.033563779321
2024-08-08,MANU,SELL_MAX_DAYS,16.99,116.7742198828657,6450.592607011144,10532.602717395199
2024-08-08,GD,SELL_MAX_DAYS,283.58,7.032955377072789,8444.998092841444,10532.602717395199
2024-08-12,GE,SELL_MAX_DAYS,165.6,12.702188162785243,10548.48045259868,10548.48045259868
2024-08-20,ZBRA,BUY,344.85,6.117721010641542,8438.784362078944,10548.48045259868
2024-08-20,PATH,BUY,12.09,174.4992630702842,6329.088271559209,10548.48045259868
2024-08-20,F,BUY,9.81,215.0556667196469,4219.392181039473,10548.480452598682
2024-08-20,AFRM,BUY,29.29,72.02786242812346,2109.696090519737,10548.480452598682
2024-08-20,UPS,BUY,119.13,17.70919239922552,9.094947017729282e-13,10548.48045259868
2024-08-23,F,SELL_TP,10.35,215.0556667196469,2225.826150548346,10903.114895981511
2024-08-23,AFRM,SELL_TP,31.46,72.02786242812346,4491.822702537111,10903.114895981511
2024-08-23,NTLA,BUY,23.63,95.04491541551229,2245.9113512685553,10903.114895981511
2024-08-23,GTLB,BUY,46.98,47.80569074645712,0.0,10903.114895981511
2024-08-26,PATH,SELL_TP,12.64,174.4992630702842,2205.6706852083926,10951.003689063014
2024-08-26,ARES,BUY,142.31,15.499056181634408,0.0,10951.003689063016
2024-09-04,ZBRA,SELL_MAX_DAYS,328.87,6.117721010641542,2011.934908769684,10856.078181194222
2024-09-04,UPS,SELL_MAX_DAYS,119.16,17.70919239922552,4122.162275061397,10856.078181194222
2024-09-04,GTLB,SELL_TP,54.35,47.80569074645712,6720.401567131341,10856.078181194222
2024-09-04,BMY,BUY,47.07,47.59154144275434,4480.267711420895,10856.078181194222
2024-09-04,BIIB,BUY,204.95,10.93014811276139,2240.1338557104477,10856.078181194222
2024-09-04,BK,BUY,65.87,34.00840831502121,9.094947017729282e-13,10856.078181194222
2024-09-05,NTLA,SELL_SL,20.93,95.04491541551229,1989.2900796466731,10793.486144372786
2024-09-05,O,BUY,58.41,34.05735455652582,0.0,10793.486144372786
2024-09-10,ARES,SELL_MAX_DAYS,135.65,15.499056181634408,2102.4469710387075,10742.074968565339
2024-09-16,BK,SELL_TP,68.58,34.00840831502121,4434.743613282862,10858.273182231836
2024-09-18,BMY,SELL_MAX_DAYS,46.86,47.59154144275434,6664.88324529033,10809.433834445179
2024-09-18,BIIB,SELL_MAX_DAYS,197.59,10.93014811276139,8824.571210890852,10809.433834445177
2024-09-19,O,SELL_MAX_DAYS,56.88,34.05735455652582,10761.753538066041,10761.753538066041
2024-09-19,LYB,BUY,88.54,24.309359697461126,8609.402830452833,10761.753538066041
2024-09-19,CVX,BUY,138.7,15.518029615091624,6457.052122839625,10761.753538066041
2024-09-19,DD,BUY,34.09,63.13730441810525,4304.701415226416,10761.753538066041
2024-09-19,KVYO,BUY,33.48,64.28765554400265,2152.350707613208,10761.753538066041
2024-09-19,DOW,BUY,49.16,43.78256118008967,0.0,10761.753538066041
2024-09-24,DD,SELL_TP,35.7,63.13730441810525,2254.0017677263577,10989.74115495104
2024-09-24,XOM,BUY,111.99,20.12681282012999,0.0,10989.741154951042
2024-09-26,KVYO,SELL_TP,35.22,64.28765554400265,2264.211228259773,10923.728786852616
2024-09-26,GLOB,BUY,198.01,11.434832726931837,0.0,10923.728786852615
2024-09-27,DOW,SELL_TP,51.19,43.78256118008967,2241.22930680879,11051.505188430321
2024-09-27,LRCX,BUY,81.84,27.385499838817083,0.0,11051.505188430321
2024-10-02,CVX,SELL_TP,144.4,15.518029615091624,2240.8034764192307,11212.481816835067
2024-10-03,LYB,SELL_MAX_DAYS,87.42,24.309359697461126,4365.927701171282,11170.733414985345
2024-10-03,XOM,SELL_TP,117.28,20.12681282012999,6726.400308716127,11170.733414985345
2024-10-03,NNE,BUY,16.89,132.74916733207277,4484.266872477418,11170.733414985345
2024-10-03,ILMN,BUY,136.36,16.442750339092907,2242.133436238709,11170.733414985345
2024-10-03,LHX,BUY,237.42,9.443742887030195,0.0,11170.733414985345
